consolidated_cleaned_research_request,fy_fq_requests_removed,missing_quarter_requests_removed,new_fact_count,new_wave,old_fact_count,old_wave,remaining_facts,source_semantics_requests_removed,structural_review_still_required,ticker
"Research official issuer sources for FY2024 Q2. Verify EBIT, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify EBIT, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify EBIT, source semantics confirmation. Do not research other fields.",0,2,6,P3_LATEST8Q,8,P3_LATEST8Q,EBIT_DIRECT|SOURCE_SEMANTICS_CONFIRMATION,0,NO,AA
Research official issuer sources for FY2024 Q2. Verify target collision evidence. Do not research other fields.,0,0,1,P3_LATEST8Q,1,P3_LATEST8Q,TARGET_COLLISION_EVIDENCE,0,YES,AAP
"Research official issuer sources for FY2024 Q3. Verify Capex required to derive FCF, FCF, missing quarter existence/source evidence, Revenue, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify Capex required to derive FCF, FCF, missing quarter existence/source evidence, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2025 Q2. Verify first-public result publication date. Do not research other fields.",0,0,10,P3_LATEST8Q,10,P3_LATEST8Q,CAPEX_FOR_FCF|FCF_DIRECT|FIRST_PUBLIC_PUBLISH_DATE|MISSING_QUARTER_EXISTENCE|REVENUE|SOURCE_SEMANTICS_CONFIRMATION,0,YES,ABAT
Research official issuer sources for FY2024 Q3. Verify Total Debt. Do not research other fields.,0,0,1,P3_LATEST8Q,1,P3_LATEST8Q,TOTAL_DEBT,0,NO,ABCL
Research official issuer sources for FY2024 Q2. Verify Revenue. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Revenue. Do not research other fields.,0,0,2,P3_LATEST8Q,2,P3_LATEST8Q,REVENUE,0,NO,ABEO
"Research official issuer sources for FY2024 Q2. Verify Capex required to derive FCF, FCF, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Capex required to derive FCF, FCF, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify Cash. Do not research other fields.",0,2,7,P3_LATEST8Q,9,P3_LATEST8Q,CAPEX_FOR_FCF|CASH|FCF_DIRECT|SOURCE_SEMANTICS_CONFIRMATION,0,NO,ABNB
Research official issuer sources for FY2024 Q2. Verify Revenue. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Revenue. Do not research other fields.,0,0,2,P3_LATEST8Q,2,P3_LATEST8Q,REVENUE,0,NO,ABOS
"Research official issuer sources for FY2024 Q2. Verify EBIT, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify EBIT, missing quarter existence/source evidence, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify EBIT, missing quarter existence/source evidence, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2025 Q2. Verify EBIT, source semantics confirmation. Do not research other fields.",0,0,10,P3_LATEST8Q,10,P3_LATEST8Q,EBIT_DIRECT|MISSING_QUARTER_EXISTENCE|SOURCE_SEMANTICS_CONFIRMATION,0,YES,ABR
Research official issuer sources for FY2024 Q2. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Total Debt. Do not research other fields.,0,0,2,P3_LATEST8Q,2,P3_LATEST8Q,TOTAL_DEBT,0,NO,ABUS
"Research official issuer sources for FY2024 Q2. Verify Capex required to derive FCF, FCF, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Capex required to derive FCF, FCF, source semantics confirmation. Do not research other fields.",0,0,6,P3_LATEST8Q,6,P3_LATEST8Q,CAPEX_FOR_FCF|FCF_DIRECT|SOURCE_SEMANTICS_CONFIRMATION,0,YES,ABVC
Research official issuer sources for FY2025 Q1. Verify EBIT. Do not research other fields.,0,0,1,P3_LATEST8Q,1,P3_LATEST8Q,EBIT_DIRECT,0,NO,ACA
Research official issuer sources for FY2024 Q2. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify Cash. Do not research other fields.,0,2,3,P3_LATEST8Q,5,P3_LATEST8Q,CASH|TOTAL_DEBT,0,NO,ACAD
,0,2,0,NO_EXTERNAL_RESEARCH_NEEDED,2,P3_LATEST8Q,,0,NO,ACDC
"Research official issuer sources for FY2024 Q3. Verify EBIT, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2024 Q4. Verify EBIT, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify EBIT, source semantics confirmation. Do not research other fields.",0,0,6,P3_LATEST8Q,6,P3_LATEST8Q,EBIT_DIRECT|SOURCE_SEMANTICS_CONFIRMATION,0,NO,ACHC
Research official issuer sources for FY2024 Q2. Verify Revenue. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Revenue. Do not research other fields.,0,1,2,P3_LATEST8Q,3,P3_LATEST8Q,REVENUE,0,NO,ACHR
"Research official issuer sources for FY2024 Q2. Verify Capex required to derive FCF, EBIT, FCF, Revenue, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Capex required to derive FCF, EBIT, FCF, Revenue, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2024 Q4. Verify EBIT, source semantics confirmation. Do not research other fields.",0,0,12,P3_LATEST8Q,12,P3_LATEST8Q,CAPEX_FOR_FCF|EBIT_DIRECT|FCF_DIRECT|REVENUE|SOURCE_SEMANTICS_CONFIRMATION,0,NO,ACHV
Research official issuer sources for FY2026 Q1. Verify first-public result publication date. Do not research other fields.,0,0,1,P2_LATEST4Q,1,P2_LATEST4Q,FIRST_PUBLIC_PUBLISH_DATE,0,YES,ACI
"Research official issuer sources for FY2024 Q2. Verify Capex required to derive FCF, EBIT, FCF, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Capex required to derive FCF, EBIT, FCF, missing quarter existence/source evidence, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify EBIT, missing quarter existence/source evidence, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2025 Q2. Verify EBIT, source semantics confirmation. Do not research other fields.",0,0,14,P3_LATEST8Q,14,P3_LATEST8Q,CAPEX_FOR_FCF|EBIT_DIRECT|FCF_DIRECT|MISSING_QUARTER_EXISTENCE|SOURCE_SEMANTICS_CONFIRMATION,0,YES,ACRE
Research official issuer sources for FY2025 Q3. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q4. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2026 Q1. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q2. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q2. Verify Total Debt. Do not research other fields.,0,2,7,P2_LATEST4Q,9,P2_LATEST4Q,TOTAL_DEBT,0,NO,ACRS
"Research official issuer sources for FY2024 Q1. Verify Revenue, Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q2. Verify Revenue, Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Revenue, Total Debt. Do not research other fields.",0,2,6,P3_LATEST8Q,8,P3_LATEST8Q,REVENUE|TOTAL_DEBT,0,NO,ACRV
"Research official issuer sources for FY2025 Q2. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q3. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q4. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q1. Verify Capex required to derive FCF, EBIT, FCF, Revenue, source semantics confirmation, Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q2. Verify Capex required to derive FCF, FCF, Revenue, source semantics confirmation, Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Capex required to derive FCF, FCF, Revenue, source semantics confirmation, Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify Total Debt. Do not research other fields.",0,2,20,P2_LATEST4Q,22,P2_LATEST4Q,CAPEX_FOR_FCF|EBIT_DIRECT|FCF_DIRECT|REVENUE|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,0,NO,ACXP
Research official issuer sources for FY2024 Q2. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify Total Debt. Do not research other fields.,0,2,3,P3_LATEST8Q,5,P3_LATEST8Q,TOTAL_DEBT,0,NO,AD
"Research official issuer sources for FY2024 Q2. Verify Revenue, Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Revenue, Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify Capex required to derive FCF, FCF, Revenue, source semantics confirmation, Total Debt. Do not research other fields.",0,2,9,P3_LATEST8Q,11,P3_LATEST8Q,CAPEX_FOR_FCF|FCF_DIRECT|REVENUE|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,0,NO,ADAM
Research official issuer sources for FY2024 Q4. Verify Total Debt. Do not research other fields.,0,0,1,P3_LATEST8Q,1,P3_LATEST8Q,TOTAL_DEBT,0,NO,ADCT
,0,2,0,NO_EXTERNAL_RESEARCH_NEEDED,2,P3_LATEST8Q,,0,NO,ADEA
"Research official issuer sources for FY2024 Q2. Verify EBIT, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify EBIT, missing quarter existence/source evidence, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify EBIT, missing quarter existence/source evidence, source semantics confirmation. Do not research other fields.",0,0,8,P3_LATEST8Q,8,P3_LATEST8Q,EBIT_DIRECT|MISSING_QUARTER_EXISTENCE|SOURCE_SEMANTICS_CONFIRMATION,0,YES,ADM
"Research official issuer sources for FY2024 Q3. Verify EBIT, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify EBIT, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2025 Q2. Verify EBIT, source semantics confirmation. Do not research other fields.",0,2,6,P3_LATEST8Q,8,P3_LATEST8Q,EBIT_DIRECT|SOURCE_SEMANTICS_CONFIRMATION,0,NO,ADNT
"Research official issuer sources for FY2025 Q1. Verify EBIT, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2025 Q2. Verify EBIT, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2025 Q3. Verify EBIT, source semantics confirmation. Do not research other fields.",0,0,6,P3_LATEST8Q,6,P3_LATEST8Q,EBIT_DIRECT|SOURCE_SEMANTICS_CONFIRMATION,0,NO,ADP
"Research official issuer sources for FY2025 Q4. Verify EBIT, source semantics confirmation. Do not research other fields.",0,0,2,P3_LATEST8Q,2,P3_LATEST8Q,EBIT_DIRECT|SOURCE_SEMANTICS_CONFIRMATION,0,YES,ADSK
Research official issuer sources for FY2025 Q1. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q2. Verify first-public result publication date. Do not research other fields.,0,1,2,P3_LATEST8Q,3,P3_LATEST8Q,FIRST_PUBLIC_PUBLISH_DATE|TOTAL_DEBT,0,NO,ADTN
Research official issuer sources for FY2024 Q2. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Total Debt. Do not research other fields.,0,1,2,P3_LATEST8Q,3,P3_LATEST8Q,TOTAL_DEBT,0,NO,ADUS
"Research official issuer sources for FY2025 Q1. Verify EBIT, source semantics confirmation, Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q2. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q4. Verify lineage/source ownership evidence, official period_end, target collision evidence. Do not research other fields.",0,0,7,P3_LATEST8Q,7,P3_LATEST8Q,EBIT_DIRECT|LINEAGE_OWNERSHIP_EVIDENCE|OFFICIAL_PERIOD_END|SOURCE_SEMANTICS_CONFIRMATION|TARGET_COLLISION_EVIDENCE|TOTAL_DEBT,0,YES,AEHR
"Research official issuer sources for FY2025 Q1. Verify Revenue, Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q2. Verify Total Debt. Do not research other fields.",0,0,3,P3_LATEST8Q,3,P3_LATEST8Q,REVENUE|TOTAL_DEBT,0,NO,AEMD
"Research official issuer sources for FY2024 Q1. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q2. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify missing quarter existence/source evidence, Total Debt. Do not research other fields.",0,0,4,P3_LATEST8Q,4,P3_LATEST8Q,MISSING_QUARTER_EXISTENCE|TOTAL_DEBT,0,NO,AEO
"Research official issuer sources for FY2024 Q2. Verify EBIT, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify EBIT, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify EBIT, source semantics confirmation. Do not research other fields.",0,2,6,P3_LATEST8Q,8,P3_LATEST8Q,EBIT_DIRECT|SOURCE_SEMANTICS_CONFIRMATION,0,NO,AES
Research official issuer sources for FY2024 Q3. Verify Cash. Do not research other fields.; Research official issuer sources for FY2024 Q4. Verify Cash. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify Cash. Do not research other fields.,0,0,3,P3_LATEST8Q,3,P3_LATEST8Q,CASH,0,NO,AESI
Research official issuer sources for FY2024 Q2. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Total Debt. Do not research other fields.,0,1,2,P3_LATEST8Q,3,P3_LATEST8Q,TOTAL_DEBT,0,NO,AEVA
"Research official issuer sources for FY2024 Q2. Verify Capex required to derive FCF, EBIT, FCF, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Capex required to derive FCF, EBIT, FCF, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2024 Q4. Verify EBIT, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify EBIT, source semantics confirmation. Do not research other fields.",0,0,12,P3_LATEST8Q,12,P3_LATEST8Q,CAPEX_FOR_FCF|EBIT_DIRECT|FCF_DIRECT|SOURCE_SEMANTICS_CONFIRMATION,0,YES,AFCG
Research official issuer sources for FY2024 Q2. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Total Debt. Do not research other fields.,0,1,2,P3_LATEST8Q,3,P3_LATEST8Q,TOTAL_DEBT,0,NO,AGIO
,0,2,0,NO_EXTERNAL_RESEARCH_NEEDED,2,P3_LATEST8Q,,0,NO,AGL
"Research official issuer sources for FY2025 Q3. Verify EBIT, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2025 Q4. Verify EBIT, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2026 Q1. Verify EBIT, source semantics confirmation, Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Capex required to derive FCF, EBIT, FCF, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2024 Q4. Verify EBIT, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify Cash, EBIT, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2025 Q2. Verify EBIT, source semantics confirmation. Do not research other fields.",0,0,18,P2_LATEST4Q,18,P2_LATEST4Q,CAPEX_FOR_FCF|CASH|EBIT_DIRECT|FCF_DIRECT|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,0,NO,AGNC
Research official issuer sources for FY2025 Q2. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q3. Verify Total Debt. Do not research other fields.,0,0,2,P3_LATEST8Q,2,P3_LATEST8Q,TOTAL_DEBT,0,YES,AGX
"Research official issuer sources for FY2024 Q1. Verify fiscal transition evidence, official period_end, source semantics confirmation, target collision evidence, Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q2. Verify fiscal transition evidence, official period_end, source semantics confirmation, target collision evidence. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify fiscal transition evidence, official period_end, source semantics confirmation, target collision evidence. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify fiscal transition evidence, official period_end, source semantics confirmation, target collision evidence. Do not research other fields.",0,0,17,P3_LATEST8Q,17,P3_LATEST8Q,FISCAL_TRANSITION_EVIDENCE|OFFICIAL_PERIOD_END|SOURCE_SEMANTICS_CONFIRMATION|TARGET_COLLISION_EVIDENCE|TOTAL_DEBT,0,YES,AGYS
,0,1,0,NO_EXTERNAL_RESEARCH_NEEDED,1,P3_LATEST8Q,,0,NO,AHR
Research official issuer sources for FY2025 Q1. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q2. Verify Total Debt. Do not research other fields.,0,0,2,P3_LATEST8Q,2,P3_LATEST8Q,TOTAL_DEBT,0,NO,AI
"Research official issuer sources for FY2025 Q3. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q4. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2026 Q1. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q2. Verify Capex required to derive FCF, FCF, first-public result publication date, source semantics confirmation, Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q2. Verify Total Debt. Do not research other fields.",0,2,10,P2_LATEST4Q,12,P2_LATEST4Q,CAPEX_FOR_FCF|FCF_DIRECT|FIRST_PUBLIC_PUBLISH_DATE|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,0,NO,AIFF
"Research official issuer sources for FY2024 Q1. Verify first-public result publication date, Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q2. Verify first-public result publication date, Total Debt. Do not research other fields.",0,2,4,P3_LATEST8Q,6,P3_LATEST8Q,FIRST_PUBLIC_PUBLISH_DATE|TOTAL_DEBT,0,NO,AIHS
Research official issuer sources for FY2024 Q2. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify Total Debt. Do not research other fields.,0,2,3,P3_LATEST8Q,5,P3_LATEST8Q,TOTAL_DEBT,0,NO,AIP
"Research official issuer sources for FY2025 Q1. Verify EBIT, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2025 Q2. Verify EBIT, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2025 Q3. Verify EBIT, source semantics confirmation. Do not research other fields.",0,0,6,P3_LATEST8Q,6,P3_LATEST8Q,EBIT_DIRECT|SOURCE_SEMANTICS_CONFIRMATION,0,NO,AIR
"Research official issuer sources for FY2024 Q2. Verify Cash, first-public result publication date, Revenue, Shares Outstanding, Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Cash, first-public result publication date, Revenue, Shares Outstanding, Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q4. Verify Revenue, Total Debt. Do not research other fields.",0,0,12,P3_LATEST8Q,12,P3_LATEST8Q,CASH|FIRST_PUBLIC_PUBLISH_DATE|REVENUE|SHARES_OUTSTANDING|TOTAL_DEBT,0,NO,AIRJ
"Research official issuer sources for FY2023 Q3. Verify Capex required to derive FCF, FCF, first-public result publication date, source semantics confirmation, Total Debt. Do not research other fields.; Research official issuer sources for FY2023 Q4. Verify Capex required to derive FCF, FCF, first-public result publication date, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify Capex required to derive FCF, FCF, source semantics confirmation, Total Debt. Do not research other fields.",0,2,13,P3_LATEST8Q,15,P3_LATEST8Q,CAPEX_FOR_FCF|FCF_DIRECT|FIRST_PUBLIC_PUBLISH_DATE|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,0,NO,AISP
Research official issuer sources for FY2024 Q4. Verify Total Debt. Do not research other fields.,0,0,1,P3_LATEST8Q,1,P3_LATEST8Q,TOTAL_DEBT,0,NO,AIV
Research official issuer sources for FY2024 Q3. Verify missing quarter existence/source evidence. Do not research other fields.,0,0,1,P3_LATEST8Q,1,P3_LATEST8Q,MISSING_QUARTER_EXISTENCE,0,YES,AKR
