affected_downstream_layers,closure_dependency,company_id,confidence,current_period_end,current_publish_date,current_ttm_impact,downstream_layer_count,evidence_types_needed,exact_information_needed,existing_local_evidence_summary,fact_count,first_batch_score,fiscal_quarter,fiscal_year,lifecycle_impact,preferred_source_type,priority,quarter_position_latest8q,research_request,research_task_id,score_impact,status,structural_warning,ticker,valuation_impact,why_needed
Latest8Q closure,CAPEX_FOR_FCF|EBIT_DIRECT|FCF_DIRECT|FIRST_PUBLIC_PUBLISH_DATE|OCF_FOR_FCF|REVENUE|SOURCE_SEMANTICS_CONFIRMATION,384,EXTERNAL_OFFICIAL_EVIDENCE_REQUIRED,2025-06-30,,NO,0,CAPEX_FOR_FCF|EBIT_DIRECT|FCF_DIRECT|FIRST_PUBLIC_PUBLISH_DATE|OCF_FOR_FCF|REVENUE|SOURCE_SEMANTICS_CONFIRMATION,Verify Capex required to derive FCF for FY2025 Q2; Verify EBIT for FY2025 Q2; Verify FCF for FY2025 Q2; Verify first-public result publication date for FY2025 Q2; Verify OCF required to derive FCF for FY2025 Q2; Verify Revenue for FY2025 Q2; Verify source semantics confirmation for FY2025 Q2,Phase 8G issue=MISSING_QUARTER|PRIMARY_CORE_INCOMPLETE|PUBLISH_DATE_MISSING|SECONDARY_FIELDS_INCOMPLETE; source dependency=NEED_CAPEX|NEED_EBIT|NEED_FCF|NEED_FIRST_PUBLIC_RESULT_DATE|NEED_MISSING_QUARTER_SOURCE|NEED_OCF|NEED_REVENUE|NEED_SOURCE_SEMANTICS_CONFIRMATION; structural context=CALENDAR_YEAR,7,55,Q2,2025,NO,issuer Investor Relations earnings release/archive,P2_LATEST4Q,2,"Research official issuer sources for FY2025 Q2. Verify Capex required to derive FCF, EBIT, FCF, first-public result publication date, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P8H-2-0075,NO,READY_FOR_EXTERNAL_RESEARCH_CLEANED,,BTCT,NO,Required to close downstream-critical latest8Q gaps for TTM / Score / Lifecycle / Valuation
Latest8Q closure,CAPEX_FOR_FCF|EBIT_DIRECT|FCF_DIRECT|FIRST_PUBLIC_PUBLISH_DATE|OCF_FOR_FCF|REVENUE|SOURCE_SEMANTICS_CONFIRMATION,1082,EXTERNAL_OFFICIAL_EVIDENCE_REQUIRED,2025-06-30,,NO,0,CAPEX_FOR_FCF|EBIT_DIRECT|FCF_DIRECT|FIRST_PUBLIC_PUBLISH_DATE|OCF_FOR_FCF|REVENUE|SOURCE_SEMANTICS_CONFIRMATION,Verify Capex required to derive FCF for FY2025 Q2; Verify EBIT for FY2025 Q2; Verify FCF for FY2025 Q2; Verify first-public result publication date for FY2025 Q2; Verify OCF required to derive FCF for FY2025 Q2; Verify Revenue for FY2025 Q2; Verify source semantics confirmation for FY2025 Q2,Phase 8G issue=MISSING_QUARTER|PRIMARY_CORE_INCOMPLETE|PUBLISH_DATE_MISSING|SECONDARY_FIELDS_INCOMPLETE; source dependency=NEED_CAPEX|NEED_EBIT|NEED_FCF|NEED_FIRST_PUBLIC_RESULT_DATE|NEED_MISSING_QUARTER_SOURCE|NEED_OCF|NEED_REVENUE|NEED_SOURCE_SEMANTICS_CONFIRMATION; structural context=CALENDAR_YEAR,7,55,Q2,2025,NO,issuer Investor Relations earnings release/archive,P2_LATEST4Q,2,"Research official issuer sources for FY2025 Q2. Verify Capex required to derive FCF, EBIT, FCF, first-public result publication date, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P8H-2-0154,NO,READY_FOR_EXTERNAL_RESEARCH_CLEANED,,HOLO,NO,Required to close downstream-critical latest8Q gaps for TTM / Score / Lifecycle / Valuation
Latest8Q closure,CAPEX_FOR_FCF|EBIT_DIRECT|FCF_DIRECT|FIRST_PUBLIC_PUBLISH_DATE|OCF_FOR_FCF|REVENUE|SOURCE_SEMANTICS_CONFIRMATION,1487,EXTERNAL_OFFICIAL_EVIDENCE_REQUIRED,2025-06-30,,NO,0,CAPEX_FOR_FCF|EBIT_DIRECT|FCF_DIRECT|FIRST_PUBLIC_PUBLISH_DATE|OCF_FOR_FCF|REVENUE|SOURCE_SEMANTICS_CONFIRMATION,Verify Capex required to derive FCF for FY2025 Q2; Verify EBIT for FY2025 Q2; Verify FCF for FY2025 Q2; Verify first-public result publication date for FY2025 Q2; Verify OCF required to derive FCF for FY2025 Q2; Verify Revenue for FY2025 Q2; Verify source semantics confirmation for FY2025 Q2,Phase 8G issue=MISSING_QUARTER|PRIMARY_CORE_INCOMPLETE|PUBLISH_DATE_MISSING|SECONDARY_FIELDS_INCOMPLETE; source dependency=NEED_CAPEX|NEED_EBIT|NEED_FCF|NEED_FIRST_PUBLIC_RESULT_DATE|NEED_MISSING_QUARTER_SOURCE|NEED_OCF|NEED_REVENUE|NEED_SOURCE_SEMANTICS_CONFIRMATION; structural context=CALENDAR_YEAR,7,55,Q2,2025,NO,issuer Investor Relations earnings release/archive,P2_LATEST4Q,2,"Research official issuer sources for FY2025 Q2. Verify Capex required to derive FCF, EBIT, FCF, first-public result publication date, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P8H-2-0211,NO,READY_FOR_EXTERNAL_RESEARCH_CLEANED,,MLGO,NO,Required to close downstream-critical latest8Q gaps for TTM / Score / Lifecycle / Valuation
Latest8Q closure,CAPEX_FOR_FCF|CASH|FCF_DIRECT|OCF_FOR_FCF|SHARES_OUTSTANDING|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,679,EXTERNAL_OFFICIAL_EVIDENCE_REQUIRED,2025-09-30,2026-02-26,NO,0,CAPEX_FOR_FCF|CASH|FCF_DIRECT|OCF_FOR_FCF|SHARES_OUTSTANDING|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,Verify Capex required to derive FCF for FY2025 Q3; Verify Cash for FY2025 Q3; Verify FCF for FY2025 Q3; Verify OCF required to derive FCF for FY2025 Q3; Verify Shares Outstanding for FY2025 Q3; Verify source semantics confirmation for FY2025 Q3; Verify Total Debt for FY2025 Q3,Phase 8G issue=PRIMARY_CORE_INCOMPLETE|SECONDARY_FIELDS_INCOMPLETE; source dependency=NEED_CAPEX|NEED_CASH|NEED_DEBT|NEED_FCF|NEED_OCF|NEED_SHARES|NEED_SOURCE_SEMANTICS_CONFIRMATION; structural context=CALENDAR_YEAR,7,50,Q3,2025,NO,issuer quarterly/annual report; SEC filing/XBRL only as fallback,P2_LATEST4Q,4,"Research official issuer sources for FY2025 Q3. Verify Capex required to derive FCF, Cash, FCF, OCF required to derive FCF, Shares Outstanding, source semantics confirmation, Total Debt. Do not research other fields.",P8H-2-0109,NO,READY_FOR_EXTERNAL_RESEARCH_CLEANED,,DEC,NO,Required to close downstream-critical latest8Q gaps for TTM / Score / Lifecycle / Valuation
Latest8Q closure,CAPEX_FOR_FCF|EBIT_DIRECT|FCF_DIRECT|OCF_FOR_FCF|REVENUE|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,784,EXTERNAL_OFFICIAL_EVIDENCE_REQUIRED,2026-03-31,2026-05-11,NO,0,CAPEX_FOR_FCF|EBIT_DIRECT|FCF_DIRECT|OCF_FOR_FCF|REVENUE|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,Verify Capex required to derive FCF for FY2026 Q1; Verify EBIT for FY2026 Q1; Verify FCF for FY2026 Q1; Verify OCF required to derive FCF for FY2026 Q1; Verify Revenue for FY2026 Q1; Verify source semantics confirmation for FY2026 Q1; Verify Total Debt for FY2026 Q1,Phase 8G issue=PRIMARY_CORE_INCOMPLETE|SECONDARY_FIELDS_INCOMPLETE; source dependency=NEED_CAPEX|NEED_DEBT|NEED_EBIT|NEED_FCF|NEED_OCF|NEED_REVENUE|NEED_SOURCE_SEMANTICS_CONFIRMATION; structural context=CALENDAR_YEAR,7,50,Q1,2026,NO,issuer quarterly/annual report; SEC filing/XBRL only as fallback,P2_LATEST4Q,2,"Research official issuer sources for FY2026 Q1. Verify Capex required to derive FCF, EBIT, FCF, OCF required to derive FCF, Revenue, source semantics confirmation, Total Debt. Do not research other fields.",P8H-2-0123,NO,READY_FOR_EXTERNAL_RESEARCH_CLEANED,,ELME,NO,Required to close downstream-critical latest8Q gaps for TTM / Score / Lifecycle / Valuation
Latest8Q closure,CAPEX_FOR_FCF|EBIT_DIRECT|FCF_DIRECT|OCF_FOR_FCF|REVENUE|SOURCE_SEMANTICS_CONFIRMATION,1082,EXTERNAL_OFFICIAL_EVIDENCE_REQUIRED,2024-12-31,2025-03-21,NO,0,CAPEX_FOR_FCF|EBIT_DIRECT|FCF_DIRECT|OCF_FOR_FCF|REVENUE|SOURCE_SEMANTICS_CONFIRMATION,Verify Capex required to derive FCF for FY2024 Q4; Verify EBIT for FY2024 Q4; Verify FCF for FY2024 Q4; Verify OCF required to derive FCF for FY2024 Q4; Verify Revenue for FY2024 Q4; Verify source semantics confirmation for FY2024 Q4,Phase 8G issue=MISSING_QUARTER|PRIMARY_CORE_INCOMPLETE|SECONDARY_FIELDS_INCOMPLETE; source dependency=NEED_CAPEX|NEED_EBIT|NEED_FCF|NEED_MISSING_QUARTER_SOURCE|NEED_OCF|NEED_REVENUE|NEED_SOURCE_SEMANTICS_CONFIRMATION; structural context=CALENDAR_YEAR,6,50,Q4,2024,NO,issuer quarterly/annual report; SEC filing/XBRL only as fallback,P2_LATEST4Q,3,"Research official issuer sources for FY2024 Q4. Verify Capex required to derive FCF, EBIT, FCF, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P8H-2-0153,NO,READY_FOR_EXTERNAL_RESEARCH_CLEANED,,HOLO,NO,Required to close downstream-critical latest8Q gaps for TTM / Score / Lifecycle / Valuation
Latest8Q closure,CAPEX_FOR_FCF|EBIT_DIRECT|FCF_DIRECT|OCF_FOR_FCF|REVENUE|SOURCE_SEMANTICS_CONFIRMATION,1487,EXTERNAL_OFFICIAL_EVIDENCE_REQUIRED,2024-12-31,2025-04-28,NO,0,CAPEX_FOR_FCF|EBIT_DIRECT|FCF_DIRECT|OCF_FOR_FCF|REVENUE|SOURCE_SEMANTICS_CONFIRMATION,Verify Capex required to derive FCF for FY2024 Q4; Verify EBIT for FY2024 Q4; Verify FCF for FY2024 Q4; Verify OCF required to derive FCF for FY2024 Q4; Verify Revenue for FY2024 Q4; Verify source semantics confirmation for FY2024 Q4,Phase 8G issue=MISSING_QUARTER|PRIMARY_CORE_INCOMPLETE|SECONDARY_FIELDS_INCOMPLETE; source dependency=NEED_CAPEX|NEED_EBIT|NEED_FCF|NEED_MISSING_QUARTER_SOURCE|NEED_OCF|NEED_REVENUE|NEED_SOURCE_SEMANTICS_CONFIRMATION; structural context=CALENDAR_YEAR,6,50,Q4,2024,NO,issuer quarterly/annual report; SEC filing/XBRL only as fallback,P2_LATEST4Q,3,"Research official issuer sources for FY2024 Q4. Verify Capex required to derive FCF, EBIT, FCF, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P8H-2-0210,NO,READY_FOR_EXTERNAL_RESEARCH_CLEANED,,MLGO,NO,Required to close downstream-critical latest8Q gaps for TTM / Score / Lifecycle / Valuation
Latest8Q closure,CAPEX_FOR_FCF|EBIT_DIRECT|FCF_DIRECT|OCF_FOR_FCF|REVENUE|SOURCE_SEMANTICS_CONFIRMATION,1580,EXTERNAL_OFFICIAL_EVIDENCE_REQUIRED,2025-12-31,2026-04-28,NO,0,CAPEX_FOR_FCF|EBIT_DIRECT|FCF_DIRECT|OCF_FOR_FCF|REVENUE|SOURCE_SEMANTICS_CONFIRMATION,Verify Capex required to derive FCF for FY2025 Q4; Verify EBIT for FY2025 Q4; Verify FCF for FY2025 Q4; Verify OCF required to derive FCF for FY2025 Q4; Verify Revenue for FY2025 Q4; Verify source semantics confirmation for FY2025 Q4,Phase 8G issue=MISSING_QUARTER|PRIMARY_CORE_INCOMPLETE|SECONDARY_FIELDS_INCOMPLETE; source dependency=NEED_CAPEX|NEED_EBIT|NEED_FCF|NEED_MISSING_QUARTER_SOURCE|NEED_OCF|NEED_REVENUE|NEED_SOURCE_SEMANTICS_CONFIRMATION; structural context=CALENDAR_YEAR,6,50,Q4,2025,NO,issuer quarterly/annual report; SEC filing/XBRL only as fallback,P2_LATEST4Q,2,"Research official issuer sources for FY2025 Q4. Verify Capex required to derive FCF, EBIT, FCF, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P8H-2-0226,NO,READY_FOR_EXTERNAL_RESEARCH_CLEANED,,NEGG,NO,Required to close downstream-critical latest8Q gaps for TTM / Score / Lifecycle / Valuation
Latest8Q closure,CAPEX_FOR_FCF|EBIT_DIRECT|FCF_DIRECT|OCF_FOR_FCF|REVENUE|SOURCE_SEMANTICS_CONFIRMATION,2034,EXTERNAL_OFFICIAL_EVIDENCE_REQUIRED,2025-12-31,2026-04-01,NO,0,CAPEX_FOR_FCF|EBIT_DIRECT|FCF_DIRECT|OCF_FOR_FCF|REVENUE|SOURCE_SEMANTICS_CONFIRMATION,Verify Capex required to derive FCF for FY2025 Q4; Verify EBIT for FY2025 Q4; Verify FCF for FY2025 Q4; Verify OCF required to derive FCF for FY2025 Q4; Verify Revenue for FY2025 Q4; Verify source semantics confirmation for FY2025 Q4,Phase 8G issue=MISSING_QUARTER|PRIMARY_CORE_INCOMPLETE|SECONDARY_FIELDS_INCOMPLETE; source dependency=NEED_CAPEX|NEED_EBIT|NEED_FCF|NEED_MISSING_QUARTER_SOURCE|NEED_OCF|NEED_REVENUE|NEED_SOURCE_SEMANTICS_CONFIRMATION; structural context=CALENDAR_YEAR,6,50,Q4,2025,NO,issuer quarterly/annual report; SEC filing/XBRL only as fallback,P2_LATEST4Q,2,"Research official issuer sources for FY2025 Q4. Verify Capex required to derive FCF, EBIT, FCF, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P8H-2-0294,NO,READY_FOR_EXTERNAL_RESEARCH_CLEANED,,SCNI,NO,Required to close downstream-critical latest8Q gaps for TTM / Score / Lifecycle / Valuation
Latest8Q closure,CAPEX_FOR_FCF|EBIT_DIRECT|FCF_DIRECT|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,443,EXTERNAL_OFFICIAL_EVIDENCE_REQUIRED,2025-09-30,2025-10-30,NO,0,CAPEX_FOR_FCF|EBIT_DIRECT|FCF_DIRECT|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,Verify Capex required to derive FCF for FY2025 Q3; Verify EBIT for FY2025 Q3; Verify FCF for FY2025 Q3; Verify source semantics confirmation for FY2025 Q3; Verify Total Debt for FY2025 Q3,Phase 8G issue=PRIMARY_CORE_INCOMPLETE|SECONDARY_FIELDS_INCOMPLETE; source dependency=NEED_CAPEX|NEED_DEBT|NEED_EBIT|NEED_FCF|NEED_SOURCE_SEMANTICS_CONFIRMATION; structural context=CALENDAR_YEAR,5,40,Q3,2025,NO,issuer quarterly/annual report; SEC filing/XBRL only as fallback,P2_LATEST4Q,4,"Research official issuer sources for FY2025 Q3. Verify Capex required to derive FCF, EBIT, FCF, source semantics confirmation, Total Debt. Do not research other fields.",P8H-2-0081,NO,READY_FOR_EXTERNAL_RESEARCH_CLEANED,,CDP,NO,Required to close downstream-critical latest8Q gaps for TTM / Score / Lifecycle / Valuation
