evidence_type,exact_anchor_coverage,fiscal_quarter,fiscal_year,keep_external,local_fq_status,local_fy_status,local_sequence_status,original_request,priority,remaining_external_requirement,removal_reason,research_task_id,structural_boundary_status,ticker
CAPEX_FOR_FCF,ADJACENT_EXACT_ANCHORS,Q2,2025,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q2. Verify Capex required to derive FCF, EBIT, FCF, first-public result publication date, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,CAPEX_FOR_FCF,,P8H-2-0075,NO_STRUCTURAL_BOUNDARY,BTCT
EBIT_DIRECT,ADJACENT_EXACT_ANCHORS,Q2,2025,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q2. Verify Capex required to derive FCF, EBIT, FCF, first-public result publication date, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,EBIT_DIRECT,,P8H-2-0075,NO_STRUCTURAL_BOUNDARY,BTCT
FCF_DIRECT,ADJACENT_EXACT_ANCHORS,Q2,2025,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q2. Verify Capex required to derive FCF, EBIT, FCF, first-public result publication date, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,FCF_DIRECT,,P8H-2-0075,NO_STRUCTURAL_BOUNDARY,BTCT
FIRST_PUBLIC_PUBLISH_DATE,ADJACENT_EXACT_ANCHORS,Q2,2025,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q2. Verify Capex required to derive FCF, EBIT, FCF, first-public result publication date, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,FIRST_PUBLIC_PUBLISH_DATE,,P8H-2-0075,NO_STRUCTURAL_BOUNDARY,BTCT
MISSING_QUARTER_EXISTENCE,ADJACENT_EXACT_ANCHORS,Q2,2025,NO,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q2. Verify Capex required to derive FCF, EBIT, FCF, first-public result publication date, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,,MISSING_QUARTER_ALREADY_IDENTIFIED_LOCALLY,P8H-2-0075,NO_STRUCTURAL_BOUNDARY,BTCT
OCF_FOR_FCF,ADJACENT_EXACT_ANCHORS,Q2,2025,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q2. Verify Capex required to derive FCF, EBIT, FCF, first-public result publication date, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,OCF_FOR_FCF,,P8H-2-0075,NO_STRUCTURAL_BOUNDARY,BTCT
REVENUE,ADJACENT_EXACT_ANCHORS,Q2,2025,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q2. Verify Capex required to derive FCF, EBIT, FCF, first-public result publication date, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,REVENUE,,P8H-2-0075,NO_STRUCTURAL_BOUNDARY,BTCT
SOURCE_SEMANTICS_CONFIRMATION,ADJACENT_EXACT_ANCHORS,Q2,2025,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q2. Verify Capex required to derive FCF, EBIT, FCF, first-public result publication date, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,SOURCE_SEMANTICS_CONFIRMATION,,P8H-2-0075,NO_STRUCTURAL_BOUNDARY,BTCT
CAPEX_FOR_FCF,ADJACENT_EXACT_ANCHORS,Q2,2025,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q2. Verify Capex required to derive FCF, EBIT, FCF, first-public result publication date, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,CAPEX_FOR_FCF,,P8H-2-0154,NO_STRUCTURAL_BOUNDARY,HOLO
EBIT_DIRECT,ADJACENT_EXACT_ANCHORS,Q2,2025,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q2. Verify Capex required to derive FCF, EBIT, FCF, first-public result publication date, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,EBIT_DIRECT,,P8H-2-0154,NO_STRUCTURAL_BOUNDARY,HOLO
