evidence_type,exact_anchor_coverage,fiscal_quarter,fiscal_year,keep_external,local_fq_status,local_fy_status,local_sequence_status,original_request,priority,remaining_external_requirement,removal_reason,research_task_id,structural_boundary_status,ticker
MISSING_QUARTER_EXISTENCE,ADJACENT_EXACT_ANCHORS,Q2,2025,NO,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q2. Verify Capex required to derive FCF, EBIT, FCF, first-public result publication date, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,,MISSING_QUARTER_ALREADY_IDENTIFIED_LOCALLY,P8H-2-0075,NO_STRUCTURAL_BOUNDARY,BTCT
MISSING_QUARTER_EXISTENCE,ADJACENT_EXACT_ANCHORS,Q2,2025,NO,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q2. Verify Capex required to derive FCF, EBIT, FCF, first-public result publication date, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,,MISSING_QUARTER_ALREADY_IDENTIFIED_LOCALLY,P8H-2-0154,NO_STRUCTURAL_BOUNDARY,HOLO
MISSING_QUARTER_EXISTENCE,ADJACENT_EXACT_ANCHORS,Q2,2025,NO,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q2. Verify Capex required to derive FCF, EBIT, FCF, first-public result publication date, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,,MISSING_QUARTER_ALREADY_IDENTIFIED_LOCALLY,P8H-2-0211,NO_STRUCTURAL_BOUNDARY,MLGO
MISSING_QUARTER_EXISTENCE,ADJACENT_EXACT_ANCHORS,Q4,2024,NO,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2024 Q4. Verify Capex required to derive FCF, EBIT, FCF, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,,MISSING_QUARTER_ALREADY_IDENTIFIED_LOCALLY,P8H-2-0153,NO_STRUCTURAL_BOUNDARY,HOLO
MISSING_QUARTER_EXISTENCE,ADJACENT_EXACT_ANCHORS,Q4,2024,NO,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2024 Q4. Verify Capex required to derive FCF, EBIT, FCF, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,,MISSING_QUARTER_ALREADY_IDENTIFIED_LOCALLY,P8H-2-0210,NO_STRUCTURAL_BOUNDARY,MLGO
MISSING_QUARTER_EXISTENCE,ADJACENT_EXACT_ANCHORS,Q4,2025,NO,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q4. Verify Capex required to derive FCF, EBIT, FCF, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,,MISSING_QUARTER_ALREADY_IDENTIFIED_LOCALLY,P8H-2-0226,NO_STRUCTURAL_BOUNDARY,NEGG
MISSING_QUARTER_EXISTENCE,ADJACENT_EXACT_ANCHORS,Q4,2025,NO,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q4. Verify Capex required to derive FCF, EBIT, FCF, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,,MISSING_QUARTER_ALREADY_IDENTIFIED_LOCALLY,P8H-2-0294,NO_STRUCTURAL_BOUNDARY,SCNI
MISSING_QUARTER_EXISTENCE,ADJACENT_EXACT_ANCHORS,Q2,2025,NO,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q2. Verify Cash, first-public result publication date, missing quarter existence/source evidence. Do not research other fields.",P2_LATEST4Q,,MISSING_QUARTER_ALREADY_IDENTIFIED_LOCALLY,P8H-2-0293,NO_STRUCTURAL_BOUNDARY,SCNI
MISSING_QUARTER_EXISTENCE,ADJACENT_EXACT_ANCHORS,Q3,2025,NO,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q3. Verify missing quarter existence/source evidence, Total Debt. Do not research other fields.",P2_LATEST4Q,,MISSING_QUARTER_ALREADY_IDENTIFIED_LOCALLY,P8H-2-0055,NO_STRUCTURAL_BOUNDARY,BCTX
MISSING_QUARTER_EXISTENCE,ADJACENT_EXACT_ANCHORS,Q1,2026,NO,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2026 Q1. Verify missing quarter existence/source evidence, Total Debt. Do not research other fields.",P2_LATEST4Q,,MISSING_QUARTER_ALREADY_IDENTIFIED_LOCALLY,P8H-2-0056,NO_STRUCTURAL_BOUNDARY,BCTX
